Question B-1,Question B-2,Question B-3
8408,0.6248,131.15
5431,0.652,130.69
5475,0.6226,130.91
5442,0.623,129.54
5376,0.6237,129.64
5388,0.6368,128.77
5459,0.628,130.72
5422,0.6131,128.33
5416,0.6118,128.24
5435,0.622,129.65
5420,0.6096,130.14
5429,0.6223,129.29
5401,0.6159,128.71
5446,0.6151,129
5487,0.63,129.39
5416,0.6297,130.42
5382,0.6298,129.53
5357,0.6121,130.12
5388,0.6107,129.78
5457,0.6435,130.92
5407,0.6192,
5469,0.6548,
5416,0.6392,
5377,0.5978,
5454,0.6351,
5375,0.6128,
5409,0.6134,
5459,0.6275,
5445,0.6403,
5429,0.631,
5463,0.6261,
5408,0.6521,
5481,0.6065,
5453,0.6262,
5422,0.6049,
5354,0.6214,
5421,0.6262,
5406,0.617,
5444,0.6141,
5466,0.6314,
5399,,
5391,,
5477,,
5447,,
5329,,
5473,,
5423,,
5441,,
5412,,
5384,,
5445,,
5436,,
5454,,
5453,,
5428,,
5418,,
5465,,
5427,,
5421,,
5396,,
5381,,
5425,,
5388,,
5388,,
5378,,
5481,,
5387,,
5440,,
5482,,
5406,,
5401,,
5411,,
5399,,
5431,,
5440,,
5413,,
5406,,
5342,,
5452,,
5420,,
5458,,
5485,,
5431,,
5416,,
5431,,
5390,,
5399,,
5435,,
5387,,
5462,,
5383,,
5401,,
5407,,
5385,,
5440,,
5422,,
5448,,
5366,,
5430,,
5418,,
